# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.768       50.910     114.00  MAASTRICHT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/klimatologie/achtergrondinformatie/windroos.pdf; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/klimatologie/achtergrondinformatie/beaufortschaal.pdf; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://www.knmi.nl/klimatologie/achtergrondinformatie/ww_lijst_nederlands.pdf; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  380,20130101,    1,  210,  100,  100,  140,   73,     ,   58,    0,    0,   10,    3,10031,   62,    8,   90,   61,    7,    0,    1,    0,    0,    0
  380,20130101,    2,  210,  100,  100,  150,   75,     ,   56,    0,    0,    7,    1,10029,   70,    8,   88,   57,    7,    0,    1,    0,    0,    0
  380,20130101,    3,  210,   90,   90,  150,   75,     ,   59,    0,    0,    8,    4,10026,   70,    8,   90,   51,    7,    0,    1,    0,    0,    0
  380,20130101,    4,  210,   80,   90,  120,   71,     ,   62,    0,    0,   10,   10,10022,   65,    8,   94,   81,    7,    0,    1,    0,    0,    0
  380,20130101,    5,  200,   80,   80,  120,   69,     ,   61,    0,    0,   10,    7,10021,   61,    8,   95,   61,    7,    0,    1,    0,    0,    0
  380,20130101,    6,  210,   80,   80,  120,   68,   67,   59,    0,    0,   10,    8,10023,   64,    8,   94,   61,    7,    0,    1,    0,    0,    0
  380,20130101,    7,  200,   80,   80,  120,   66,     ,   59,    0,    0,   10,    4,10022,   65,    8,   95,   57,    7,    0,    1,    0,    0,    0
  380,20130101,    8,  200,   70,   70,  110,   67,     ,   59,    0,    0,    5,    1,10026,   65,    8,   95,   51,    7,    0,    1,    0,    0,    0
  380,20130101,    9,  210,   70,   70,  100,   69,     ,   61,    0,    2,    9,    5,10029,   62,    8,   95,   81,    7,    0,    1,    0,    0,    0
  380,20130101,   10,  210,   70,   70,  110,   71,     ,   67,    0,    7,   10,   11,10034,   65,    8,   97,   51,    7,    0,    1,    0,    0,    0
  380,20130101,   11,  230,   70,   70,  110,   74,     ,   70,    0,    8,    6,    4,10039,   59,    8,   97,   58,    7,    0,    1,    0,    0,    0
  380,20130101,   24,  220,   50,   50,   70,   34,   15,   19,    0,    0,    0,    0,10154,   69,    8,   90,     ,    5,    0,    0,    0,    0,    0
  380,20130102,    1,  220,   50,   60,   70,   36,     ,   18,    0,    0,    0,    0,10161,   69,    8,   88,     ,    5,    0,    0,    0,    0,    0
  380,20130102,    2,  230,   50,   50,   80,   38,     ,   18,    0,    0,    0,    0,10172,   70,    8,   87,     ,    5,    0,    0,    0,    0,    0
  380,20130102,    3,  220,   50,   40,   60,   34,     ,   21,    0,    0,    4,    4,10177,   65,    8,   91,   23,    7,    0,    1,    0,    0,    0
  380,20130102,    4,  230,   50,   50,   70,   33,     ,   23,    0,    0,    1,    1,10183,   65,    7,   93,   23,    7,    0,    1,    0,    0,    0
  380,20130102,    5,  220,   40,   50,   70,   35,     ,   27,    0,    0,    4,    2,10192,   65,    8,   94,   23,    7,    0,    1,    0,    0,    0
  380,20130102,    6,  230,   40,   30,   60,   33,   24,   25,    0,    0,    0,    0,10203,   65,    6,   94,    1,    7,    0,    0,    0,    0,    0
  380,20130102,    7,  220,   40,   40,   60,   41,     ,   32,    0,    0,    0,    0,10213,   65,    8,   94,     ,    5,    0,    0,    0,    0,    0
  380,20130102,    8,  230,   40,   40,   60,   43,     ,   34,    0,    1,    0,   -1,10227,   65,    8,   94,   22,    7,    0,    1,    0,    0,    0
  380,20130102,    9,  230,   40,   30,   50,   47,     ,   36,    0,   11,    0,    0,10237,   64,    8,   93,    2,    7,    0,    0,    0,    0,    0
  380,20130102,   10,  230,   40,   40,   50,   51,     ,   40,    0,   21,    0,   -1,10244,   65,    8,   93,   22,    7,    0,    1,    0,    0,    0
  380,20130102,   11,  230,   50,   50,   70,   52,     ,   41,    0,   32,    0,    0,10248,   64,    7,   93,     ,    5,    0,    0,    0,    0,    0
  380,20130102,   24,  220,   80,   90,  130,   64,   53,   50,    0,    0,    0,    0,10283,   59,    8,   91,   10,    7,    0,    0,    0,    0,    0
  380,20130103,    1,  230,   90,   90,  130,   65,     ,   55,    0,    0,    0,   -1,10282,   61,    8,   93,   51,    7,    0,    1,    0,    0,    0
  380,20130103,    2,  220,   90,   90,  130,   64,     ,   60,    0,    0,    7,    8,10282,   58,    8,   97,   81,    7,    0,    1,    0,    0,    0
